STATE,YEAR,Proj,projlow,projhigh
4,2015,6758300,6758200,6758200
4,2016,6867600,6845000,6890200
4,2017,6984400,6936300,7032200
4,2018,7104700,7029500,7179200
4,2019,7225900,7122700,7328000
4,2020,7346800,7215000,7476800
4,2021,7466900,7306200,7625100
4,2022,7586600,7396500,7773600
4,2023,7706000,7486000,7922400
4,2024,7825400,7574700,8071700
4,2025,7944800,7662900,8221800
4,2026,8062800,7748900,8371300
4,2027,8180900,7834300,8521700
4,2028,8299000,7918800,8673100
4,2029,8417300,8002600,8825500
4,2030,8535900,8085900,8979400
4,2031,8655000,8168700,9134800
4,2032,8774000,8250500,9291000
4,2033,8892600,8331100,9448000
4,2034,9011000,8410700,9605600
4,2035,9128900,8489100,9763700
4,2036,9246300,8566200,9922000
4,2037,9362900,8642100,10080400
4,2038,9478600,8716500,10238600
4,2039,9593300,8789300,10396400
4,2040,9706800,8860500,10553700
4,2041,9819400,8930300,10710700
4,2042,9931400,8998900,10868000
4,2043,10042900,9066400,11025600
4,2044,10154100,9132800,11183700
4,2045,10265000,9198300,11342300
4,2046,10375800,9263000,11501700
4,2047,10486700,9326900,11662200
4,2048,10597700,9390300,11823900
4,2049,10709100,9453200,11986900
4,2050,10820900,9515600,12151400
